img_name,mask_name,img_shape_0,img_shape_1,mask_shape_0,mask_shape_1,ratio,convex_ratio,r_min,r_max,r_mean,r_median,r_std,g_min,g_max,g_mean,g_median,g_std,b_min,b_max,b_mean,b_median,b_std
32.JPG,binary_32.tif,4000,6000,4000,6000,2.5153625,2.5804418473939603e-06,0,255,74.69413280391991,58.0,58.45082250831513,0,255,76.283416406184,61.0,60.8616971237911,2,255,91.086939258258,81.0,68.51819481173814
33.JPG,binary_33.tif,4000,6000,4000,6000,2.07975875,2.8818006011849353e-06,0,255,55.49679680395623,42.0,44.80968301857826,2,255,70.85525845245272,63.0,50.385320929257716,6,255,84.73465071369456,77.0,55.267635366736165
34.JPG,binary_34.tif,4000,6000,4000,6000,2.0513475,3.1162607183487782e-06,0,255,44.335845401620155,32.0,36.9909169742142,5,255,65.87739034951416,51.0,48.33149801074313,7,255,79.30026208382539,70.0,51.360768548920966
35.JPG,binary_35.tif,4000,6000,4000,6000,1.38139875,6.230565684931462e-06,0,182,48.083975571861494,28.0,47.2021851276119,5,188,57.11564139246543,37.0,49.54143218502322,5,192,71.2880612857077,57.0,48.883767544162055
36.JPG,binary_36.tif,4000,6000,4000,6000,2.41162,2.8728286296493984e-06,5,238,63.46918616946285,65.0,35.499562430911034,7,255,88.43912572254335,97.0,46.2221421554381,9,255,111.74829497391795,118.0,50.74702261561796
37.JPG,binary_37.tif,4000,6000,4000,6000,2.6641125,2.4848677137007514e-06,0,255,91.58747307968413,88.0,53.26071983320733,8,255,117.72198691872059,128.0,62.295756441217904,11,255,142.60352556432957,151.0,63.649250228512784
38.JPG,binary_38.tif,4000,6000,4000,6000,2.95035,2.801089400505147e-06,0,255,73.69265701526938,65.0,44.09892690014207,0,255,92.67999135695764,91.0,45.57876729106329,0,255,111.84182872371075,109.0,47.0269654511382
39.JPG,binary_39.tif,4000,6000,4000,6000,4.2291325,1.7955324011431277e-06,0,255,53.35651800339668,45.0,41.98480314162374,0,255,68.2136465043363,65.0,44.58816868058127,4,255,92.50466791948467,87.0,50.42578035190769
40.JPG,binary_40.tif,4000,6000,4000,6000,3.74881875,1.8014584051081558e-06,0,152,56.04179066405918,52.0,29.16526743057317,5,191,71.09253181418813,72.0,34.21862788442583,8,210,85.4321798033047,90.0,39.00912966809165
41.JPG,binary_41.tif,4000,6000,4000,6000,2.3943225,3.2234931402769538e-06,0,255,77.16804675435327,62.0,52.38133532489914,5,255,97.90795125761045,89.0,55.901935027795396,8,255,107.5233061753377,101.0,55.845213272471106
42.JPG,binary_42.tif,4000,6000,4000,6000,3.379738125,2.091956670493851e-06,0,255,76.25330327922966,68.0,42.863069925177264,0,255,92.4546783487848,91.0,45.368179585141895,3,255,108.27123514192391,102.0,46.35064452495272
43.JPG,binary_43.tif,4000,6000,4000,6000,4.94479,1.2912069011653651e-06,0,255,76.48012857977791,79.0,42.7223091356597,0,255,85.42250403960533,84.0,44.95245864802464,11,255,119.0475448654038,122.0,47.99796880583717
44.JPG,binary_44.tif,4000,6000,4000,6000,3.201355,2.3754162052365216e-06,0,255,88.42585561426334,85.0,45.46596517587922,0,255,103.29353742399702,106.0,45.1959315936269,9,255,127.00183867456124,127.0,48.30789912343073
45.JPG,binary_45.tif,4000,6000,4000,6000,3.47193125,2.0041196244292797e-06,0,250,47.33235609144046,32.0,42.04209301943399,6,217,74.80014689230957,68.0,42.82184800071397,9,235,89.05096857116627,79.0,46.040288134023065
46.JPG,binary_46.tif,4000,6000,4000,6000,5.338286875,1.503887216524898e-06,0,241,68.4666369442725,60.0,44.161856556184176,0,243,84.42244744012564,84.0,42.30267497143755,5,255,98.75631484772913,98.0,45.116983404329694
47.JPG,binary_47.tif,4000,6000,4000,6000,3.08958,2.599795326999131e-06,0,255,109.70195746671068,97.0,66.94287514806337,0,243,82.9542581435017,78.0,52.42729801160636,3,255,94.8547272202047,87.0,59.198221012850674
48.JPG,binary_48.tif,4000,6000,4000,6000,2.434325625,3.3990847551807035e-06,4,255,110.66532671651106,101.0,66.23459967379456,4,237,89.05055583925835,87.0,54.26655384488815,6,255,109.06776568767377,111.0,62.73058274468275
49.JPG,binary_49.tif,4000,6000,4000,6000,4.54033875,2.203706430163537e-06,17,255,159.38617355368032,155.0,44.09615550758479,14,255,184.90425576725966,192.0,37.773434693499425,32,255,181.83911814399312,189.0,38.70784946363298
50.JPG,binary_50.tif,4000,6000,4000,6000,5.061665,1.4787878966958965e-06,4,255,104.86522653612991,102.0,56.3744061622761,4,250,95.00974827453022,88.0,53.278151485722134,10,255,122.11744739626191,121.0,54.72590692677946
51.JPG,binary_51.tif,4000,6000,4000,6000,5.593765,1.3729755127313682e-06,2,255,131.83512703429622,134.0,58.2764068959622,2,248,108.5601475482077,108.0,50.47306293529595,5,247,129.2709602789892,135.0,52.81239303662712
52.JPG,binary_52.tif,4000,6000,4000,6000,5.19996,1.4992566966237193e-06,6,255,105.92190564927422,102.0,51.5217163980035,0,240,97.11783828625605,98.0,47.8768050166617,7,245,109.41142564077415,110.0,47.05223512411098
53.JPG,binary_53.tif,4000,6000,4000,6000,4.2030375,1.9483078611071015e-06,1,241,105.59176146417919,98.0,46.93231968967758,0,234,105.12211436371909,102.0,46.842134271510666,19,255,124.50289953991607,118.0,48.61106263466452
54.JPG,binary_54.tif,4000,6000,4000,6000,3.00664125,2.1959894695417674e-06,0,238,84.50671783672229,70.0,53.71306247538559,0,240,99.25816494568483,91.0,55.87585840050301,7,234,111.74148166995315,104.0,55.12735174473065
55.JPG,binary_55.tif,4000,6000,4000,6000,3.43009,2.07276581215332e-06,0,170,33.5946963126332,22.0,31.981206024457013,0,191,47.837197056053924,38.0,38.23780394746878,4,220,71.99095195024037,67.0,40.42840314215665
56.JPG,binary_56.tif,4000,6000,4000,6000,2.1745975,3.3901609054242916e-06,0,255,59.92730177653566,47.0,43.963559584285626,0,255,76.86732659722087,67.0,50.86139309163242,0,255,92.5645533253855,80.0,54.07594998993741
57.JPG,binary_57.tif,4000,6000,4000,6000,2.005915,3.4464300906905015e-06,0,255,62.76728886817238,49.0,45.39312148954312,0,255,79.68334463324717,69.0,52.26630391162066,0,255,94.59632293741261,83.0,54.8550832070038
58.JPG,binary_58.tif,4000,6000,4000,6000,2.652935,2.8802939915444293e-06,0,255,52.16240668354106,39.0,43.68838297700684,1,255,60.47057527794688,54.0,43.824063296595405,3,255,74.82939508506617,68.0,49.49227729865104
59.JPG,binary_59.tif,4000,6000,4000,6000,2.9252325,2.2811110951363064e-06,0,255,62.41357930523471,43.0,54.71550666708135,0,255,68.2764568713769,60.0,51.72035802733615,3,255,84.08003167269611,74.0,57.53349456179204
60.JPG,binary_60.tif,4000,6000,4000,6000,2.0305225,3.542810123819075e-06,0,255,68.8714130230027,57.0,46.31843397196173,6,255,85.07537099441154,78.0,51.04521187023133,6,255,107.65947527052766,104.0,54.976860601758226
61.JPG,binary_61.tif,4000,6000,4000,6000,4.3341925,1.4108032395693083e-06,3,240,69.63907247428442,58.0,46.39927561159466,3,193,52.755802551455666,47.0,34.12138298515471,4,211,75.80724840901736,70.0,49.46692969852889
62.JPG,binary_62.tif,4000,6000,4000,6000,5.1138975,1.3089605157860916e-06,0,208,49.027884431590586,42.0,32.39865906228563,0,182,40.5533088999144,33.0,31.240178397912853,3,193,59.279951714910204,49.0,40.58584645452308
63.JPG,binary_63.tif,4000,6000,4000,6000,3.3621325,2.5434994162945268e-06,0,255,59.9767662339304,41.0,54.731540009823576,0,255,57.99138530382131,33.0,58.797617514820814,0,255,73.0190085830942,46.0,65.25463976448916
64.JPG,binary_64.tif,4000,6000,4000,6000,6.71179125,9.791393313569864e-07,0,196,55.19816431269373,49.0,35.77181740908694,0,185,50.05345592355841,41.0,35.2794171479545,1,187,67.26484174399792,69.0,44.36605732289278
65.JPG,binary_65.tif,4000,6000,4000,6000,6.2252725,1.1447408343318551e-06,0,225,52.611186397864515,43.0,38.92540580006507,0,177,39.97087426694976,31.0,31.198525113432456,2,202,59.47885162858333,51.0,41.52924318853662
66.JPG,binary_66.tif,4000,6000,4000,6000,6.28745,1.0416102948414675e-06,0,255,70.81611802081925,57.0,59.954408305061946,0,255,72.9335169663377,66.0,58.18152926965298,0,255,91.45933148573747,93.0,66.04640040410699
67.JPG,binary_67.tif,4000,6000,4000,6000,4.465135,1.3756584460039506e-06,0,255,88.1391178542194,74.0,55.414982527553725,0,255,89.91863375911366,85.0,54.383227652754954,0,255,110.33575888522968,99.0,59.10087198833934
68.JPG,binary_68.tif,4000,6000,4000,6000,4.1173575,1.8796651305812822e-06,4,255,84.73291683440168,74.0,52.80507302480723,4,255,92.61858091020758,88.0,54.366568721531756,5,255,109.28607334922945,104.0,59.923689298199605
69.JPG,binary_69.tif,4000,6000,4000,6000,4.520895,1.6729391920404411e-06,0,255,54.62972154849869,48.0,44.47146614823877,1,253,61.18455167616147,56.0,41.134045869262714,0,232,63.17977607310057,52.0,46.06679906450284
70.JPG,binary_70.tif,4000,6000,4000,6000,3.8928725,2.0914984834668273e-06,0,255,44.75581896787013,39.0,37.399605135251626,0,255,48.74256525868751,41.0,34.63127780344889,0,255,50.69719805233796,40.0,37.87117693518929
71.JPG,binary_71.tif,4000,6000,4000,6000,1.75304,4.241829622931755e-06,0,255,54.45639182505818,44.0,42.749782532881866,4,255,73.5363047905353,66.0,45.85563568344358,6,255,99.34523492048099,93.0,50.06103383541019
72.JPG,binary_72.tif,4000,6000,4000,6000,1.8799875,3.863893855823953e-06,0,255,74.54777325647112,70.0,48.48574799265993,0,255,115.84637730304058,123.0,63.483965013848746,7,255,128.65015824573302,137.0,60.846879786319434
73.JPG,binary_73.tif,4000,6000,4000,6000,4.6690925,1.6172290690054545e-06,0,255,91.79726654590802,87.0,60.60547157580654,0,255,118.43931877554364,125.0,61.89142409699763,5,255,135.72293625581418,142.0,56.91482763043282
74.JPG,binary_74.tif,4000,6000,4000,6000,4.32616,1.8086538093362617e-06,1,255,76.27223406554542,69.0,45.67928054050975,3,255,108.82296005580007,108.0,53.56727055160387,6,255,128.26827255580005,130.0,47.53618934992456
75.JPG,binary_75.tif,4000,6000,4000,6000,1.21411875,6.545600333498736e-06,2,255,78.60267786820688,65.0,53.323136286219366,6,255,81.65403868031855,67.0,54.494725307105824,12,255,105.55332108164873,90.0,59.65607774506151
76.JPG,binary_76.tif,4000,6000,4000,6000,3.41139,2.4528999140489417e-06,0,255,64.45392933672198,60.0,49.203196265409794,0,255,90.53487068321124,96.0,58.38615622612765,5,255,110.83375068520456,111.0,61.554675023247064
77.JPG,binary_77.tif,4000,6000,4000,6000,1.816460625,3.381540673962395e-06,0,255,67.02446756862676,52.0,53.4191565666186,0,255,68.95140997069507,57.0,53.60675619955159,0,255,84.87350331362124,74.0,56.43332910992632
78.JPG,binary_78.tif,4000,6000,4000,6000,4.9436425,1.1201213007263876e-06,0,255,44.343848058390144,30.0,40.83407674502841,1,255,73.16555909938876,55.0,57.559225680650094,0,255,84.15991308534143,72.0,60.52150962836234
79.JPG,binary_79.tif,4000,6000,4000,6000,3.261535,2.125935494108269e-06,0,255,44.00724179719059,26.0,44.88349078717169,3,255,65.12718263792969,59.0,48.82967500486502,4,255,85.31110408902556,86.0,60.530344353891365
80.JPG,binary_80.tif,4000,6000,4000,6000,3.240285,2.2243851374427416e-06,0,255,43.44553854830671,21.0,48.38407487797402,0,255,59.143382256499045,46.0,49.17503235619132,2,255,76.4423939560872,70.0,57.97136115149376
81.JPG,binary_81.tif,4000,6000,4000,6000,3.9872225,1.691163880100028e-06,0,255,48.52152594945479,25.0,49.50401447955212,2,255,68.73323331592356,58.0,52.76957913598319,3,255,88.10591630514726,87.0,60.11675446258074
82.JPG,binary_82.tif,4000,6000,4000,6000,10.262305,3.427003916970842e-07,0,243,75.13899782992223,65.0,50.73854161327515,0,255,96.30270307206811,96.0,53.95494139550035,0,255,112.94482970687385,116.0,56.71495982213772
83.JPG,binary_83.tif,4000,6000,4000,6000,47.8017475,1.7085049542109882e-07,0,234,61.49863658227139,40.0,53.19102758397679,0,242,83.5069122211484,54.0,72.62943819410299,1,255,93.76569486293361,66.0,78.5587675342281
84.JPG,binary_84.tif,3081,4944,3081,4944,4.034575758721636,3.5385512440425004e-06,0,255,82.13378505099458,66.0,66.8795716506481,1,243,84.79046579753201,69.0,65.67095152522523,3,255,100.18287096586808,95.0,69.51829678158431
85.JPG,binary_85.tif,4000,6000,4000,6000,13.473265,5.746538824005817e-07,0,159,22.72829697367342,13.0,25.43445812575944,0,174,22.564004252124484,13.0,25.33270898989938,4,233,77.69553858140547,75.0,52.77881863652352
86.JPG,binary_86.tif,4000,6000,4000,6000,6.4761075,1.3169160033931056e-06,0,255,61.99315850609336,45.0,55.982204886129935,1,255,73.792719141089,61.0,58.68186080433406,2,255,91.79119826222774,86.0,66.16599037677628
87.JPG,binary_87.tif,4000,6000,4000,6000,6.486775,1.4405609228952788e-06,0,255,37.9847687217454,18.0,54.78764322695573,0,255,52.78134868636572,27.0,59.016757562236094,0,255,67.63741073183516,44.0,64.11920735358866
